ID,Words,count,year
0,heart disease,2.420000000000000000e+02,1999
1,heart failure,1.620000000000000000e+02,1999
2,cardiovascular disease,3.300000000000000000e+01,1999
3,cancer,2.908000000000000000e+03,1999
4,malignant neoplasms,0.000000000000000000e+00,1999
5,respiratory disease,5.000000000000000000e+00,1999
6,bronchitis,3.500000000000000000e+01,1999
7,emphysema,6.100000000000000000e+01,1999
8,asthma,2.370000000000000000e+02,1999
9,unintentional injuries,2.000000000000000000e+00,1999
10,car accident,1.420000000000000000e+02,1999
11,pileup,2.500000000000000000e+01,1999
12,car crash,8.300000000000000000e+01,1999
13,stroke,8.220000000000000000e+02,1999
14,cerebrovascular diseases,0.000000000000000000e+00,1999
15,alzheimer's disease,1.410000000000000000e+02,1999
16,diabetes,3.320000000000000000e+02,1999
17,Influenza,6.400000000000000000e+01,1999
18,pneumonia,1.780000000000000000e+02,1999
19,flu,2.340000000000000000e+02,1999
20,kidney disease,3.000000000000000000e+01,1999
21,nephrosis,0.000000000000000000e+00,1999
22,nephritis,0.000000000000000000e+00,1999
23,nephrotic syndrome,0.000000000000000000e+00,1999
24,suicide,9.080000000000000000e+02,1999
25,self-harm,0.000000000000000000e+00,1999
26,homicide,3.660000000000000000e+02,1999
27,murder,2.344000000000000000e+03,1999
28,manslaughter,1.720000000000000000e+02,1999
29,assassination,3.880000000000000000e+02,1999
30,terrorism,6.860000000000000000e+02,1999
31,terrorist,6.710000000000000000e+02,1999
32,terror attack,3.000000000000000000e+00,1999
33,shootings,6.930000000000000000e+02,1999
34,gun violence,1.030000000000000000e+02,1999
35,knife attack,1.000000000000000000e+00,1999
36,knifing,1.600000000000000000e+01,1999
37,lynching,5.300000000000000000e+01,1999
38,drug overdose,3.500000000000000000e+01,1999
