ID,Words,count,year
0,heart disease,2.900000000000000000e+02,2015
1,heart failure,1.860000000000000000e+02,2015
2,cardiovascular disease,9.700000000000000000e+01,2015
3,cancer,3.184000000000000000e+03,2015
4,malignant neoplasms,0.000000000000000000e+00,2015
5,respiratory disease,1.300000000000000000e+01,2015
6,bronchitis,2.500000000000000000e+01,2015
7,emphysema,2.900000000000000000e+01,2015
8,asthma,1.420000000000000000e+02,2015
9,unintentional injuries,2.000000000000000000e+00,2015
10,car accident,1.880000000000000000e+02,2015
11,pileup,5.500000000000000000e+01,2015
12,car crash,1.370000000000000000e+02,2015
13,stroke,8.380000000000000000e+02,2015
14,cerebrovascular diseases,0.000000000000000000e+00,2015
15,alzheimer's disease,2.260000000000000000e+02,2015
16,diabetes,5.190000000000000000e+02,2015
17,Influenza,4.900000000000000000e+01,2015
18,pneumonia,2.300000000000000000e+02,2015
19,flu,2.480000000000000000e+02,2015
20,kidney disease,4.400000000000000000e+01,2015
21,nephrosis,0.000000000000000000e+00,2015
22,nephritis,0.000000000000000000e+00,2015
23,nephrotic syndrome,2.000000000000000000e+00,2015
24,suicide,1.800000000000000000e+03,2015
25,self-harm,1.700000000000000000e+01,2015
26,homicide,3.830000000000000000e+02,2015
27,murder,3.010000000000000000e+03,2015
28,manslaughter,2.980000000000000000e+02,2015
29,assassination,4.780000000000000000e+02,2015
30,terrorism,2.078000000000000000e+03,2015
31,terrorist,2.432000000000000000e+03,2015
32,terror attack,4.100000000000000000e+01,2015
33,shootings,9.270000000000000000e+02,2015
34,gun violence,3.130000000000000000e+02,2015
35,knife attack,3.700000000000000000e+01,2015
36,knifing,6.000000000000000000e+00,2015
37,lynching,8.500000000000000000e+01,2015
38,drug overdose,5.600000000000000000e+01,2015
