ID,Words,count,year
0,heart disease,4.230000000000000000e+02,2006
1,heart failure,2.650000000000000000e+02,2006
2,cardiovascular disease,7.300000000000000000e+01,2006
3,cancer,3.417000000000000000e+03,2006
4,malignant neoplasms,0.000000000000000000e+00,2006
5,respiratory disease,1.100000000000000000e+01,2006
6,bronchitis,5.500000000000000000e+01,2006
7,emphysema,6.000000000000000000e+01,2006
8,asthma,2.430000000000000000e+02,2006
9,unintentional injuries,0.000000000000000000e+00,2006
10,car accident,2.320000000000000000e+02,2006
11,pileup,4.100000000000000000e+01,2006
12,car crash,1.220000000000000000e+02,2006
13,stroke,1.012000000000000000e+03,2006
14,cerebrovascular diseases,0.000000000000000000e+00,2006
15,alzheimer's disease,1.700000000000000000e+02,2006
16,diabetes,7.240000000000000000e+02,2006
17,Influenza,1.880000000000000000e+02,2006
18,pneumonia,2.680000000000000000e+02,2006
19,flu,5.910000000000000000e+02,2006
20,kidney disease,5.700000000000000000e+01,2006
21,nephrosis,0.000000000000000000e+00,2006
22,nephritis,0.000000000000000000e+00,2006
23,nephrotic syndrome,2.000000000000000000e+00,2006
24,suicide,2.115000000000000000e+03,2006
25,self-harm,3.000000000000000000e+00,2006
26,homicide,3.870000000000000000e+02,2006
27,murder,2.840000000000000000e+03,2006
28,manslaughter,2.200000000000000000e+02,2006
29,assassination,6.180000000000000000e+02,2006
30,terrorism,2.843000000000000000e+03,2006
31,terrorist,3.032000000000000000e+03,2006
32,terror attack,6.000000000000000000e+01,2006
33,shootings,4.580000000000000000e+02,2006
34,gun violence,4.600000000000000000e+01,2006
35,knife attack,5.000000000000000000e+00,2006
36,knifing,9.000000000000000000e+00,2006
37,lynching,6.500000000000000000e+01,2006
38,drug overdose,2.600000000000000000e+01,2006
