ID,Words,count,year
0,heart disease,3.040000000000000000e+02,2002
1,heart failure,1.390000000000000000e+02,2002
2,cardiovascular disease,5.000000000000000000e+01,2002
3,cancer,2.931000000000000000e+03,2002
4,malignant neoplasms,0.000000000000000000e+00,2002
5,respiratory disease,7.000000000000000000e+00,2002
6,bronchitis,2.600000000000000000e+01,2002
7,emphysema,3.900000000000000000e+01,2002
8,asthma,1.840000000000000000e+02,2002
9,unintentional injuries,0.000000000000000000e+00,2002
10,car accident,1.850000000000000000e+02,2002
11,pileup,2.900000000000000000e+01,2002
12,car crash,1.040000000000000000e+02,2002
13,stroke,7.320000000000000000e+02,2002
14,cerebrovascular diseases,0.000000000000000000e+00,2002
15,alzheimer's disease,1.670000000000000000e+02,2002
16,diabetes,4.410000000000000000e+02,2002
17,Influenza,4.000000000000000000e+01,2002
18,pneumonia,1.590000000000000000e+02,2002
19,flu,1.950000000000000000e+02,2002
20,kidney disease,4.100000000000000000e+01,2002
21,nephrosis,0.000000000000000000e+00,2002
22,nephritis,0.000000000000000000e+00,2002
23,nephrotic syndrome,0.000000000000000000e+00,2002
24,suicide,2.009000000000000000e+03,2002
25,self-harm,2.000000000000000000e+00,2002
26,homicide,3.710000000000000000e+02,2002
27,murder,2.344000000000000000e+03,2002
28,manslaughter,1.930000000000000000e+02,2002
29,assassination,4.410000000000000000e+02,2002
30,terrorism,3.965000000000000000e+03,2002
31,terrorist,4.588000000000000000e+03,2002
32,terror attack,1.370000000000000000e+02,2002
33,shootings,4.410000000000000000e+02,2002
34,gun violence,3.500000000000000000e+01,2002
35,knife attack,3.000000000000000000e+00,2002
36,knifing,6.000000000000000000e+00,2002
37,lynching,5.300000000000000000e+01,2002
38,drug overdose,2.300000000000000000e+01,2002
