ID,Words,count,year
0,heart disease,2.700000000000000000e+02,2014
1,heart failure,1.590000000000000000e+02,2014
2,cardiovascular disease,7.000000000000000000e+01,2014
3,cancer,3.300000000000000000e+03,2014
4,malignant neoplasms,0.000000000000000000e+00,2014
5,respiratory disease,1.100000000000000000e+01,2014
6,bronchitis,3.600000000000000000e+01,2014
7,emphysema,4.100000000000000000e+01,2014
8,asthma,2.100000000000000000e+02,2014
9,unintentional injuries,3.000000000000000000e+00,2014
10,car accident,2.150000000000000000e+02,2014
11,pileup,5.800000000000000000e+01,2014
12,car crash,1.450000000000000000e+02,2014
13,stroke,8.270000000000000000e+02,2014
14,cerebrovascular diseases,0.000000000000000000e+00,2014
15,alzheimer's disease,2.500000000000000000e+02,2014
16,diabetes,5.290000000000000000e+02,2014
17,Influenza,8.900000000000000000e+01,2014
18,pneumonia,2.160000000000000000e+02,2014
19,flu,2.860000000000000000e+02,2014
20,kidney disease,4.100000000000000000e+01,2014
21,nephrosis,0.000000000000000000e+00,2014
22,nephritis,0.000000000000000000e+00,2014
23,nephrotic syndrome,6.000000000000000000e+00,2014
24,suicide,1.701000000000000000e+03,2014
25,self-harm,1.300000000000000000e+01,2014
26,homicide,4.410000000000000000e+02,2014
27,murder,2.706000000000000000e+03,2014
28,manslaughter,2.080000000000000000e+02,2014
29,assassination,5.430000000000000000e+02,2014
30,terrorism,1.431000000000000000e+03,2014
31,terrorist,1.839000000000000000e+03,2014
32,terror attack,3.200000000000000000e+01,2014
33,shootings,5.480000000000000000e+02,2014
34,gun violence,2.650000000000000000e+02,2014
35,knife attack,2.900000000000000000e+01,2014
36,knifing,1.100000000000000000e+01,2014
37,lynching,5.000000000000000000e+01,2014
38,drug overdose,5.400000000000000000e+01,2014
