ID,Words,count,year
0,heart disease,3.000000000000000000e+02,2005
1,heart failure,2.330000000000000000e+02,2005
2,cardiovascular disease,4.800000000000000000e+01,2005
3,cancer,2.661000000000000000e+03,2005
4,malignant neoplasms,1.000000000000000000e+00,2005
5,respiratory disease,1.600000000000000000e+01,2005
6,bronchitis,2.800000000000000000e+01,2005
7,emphysema,6.400000000000000000e+01,2005
8,asthma,1.800000000000000000e+02,2005
9,unintentional injuries,0.000000000000000000e+00,2005
10,car accident,1.640000000000000000e+02,2005
11,pileup,4.100000000000000000e+01,2005
12,car crash,9.100000000000000000e+01,2005
13,stroke,7.280000000000000000e+02,2005
14,cerebrovascular diseases,0.000000000000000000e+00,2005
15,alzheimer's disease,1.630000000000000000e+02,2005
16,diabetes,4.720000000000000000e+02,2005
17,Influenza,2.090000000000000000e+02,2005
18,pneumonia,2.450000000000000000e+02,2005
19,flu,5.350000000000000000e+02,2005
20,kidney disease,5.100000000000000000e+01,2005
21,nephrosis,0.000000000000000000e+00,2005
22,nephritis,1.000000000000000000e+00,2005
23,nephrotic syndrome,1.000000000000000000e+00,2005
24,suicide,1.813000000000000000e+03,2005
25,self-harm,1.000000000000000000e+00,2005
26,homicide,2.960000000000000000e+02,2005
27,murder,2.099000000000000000e+03,2005
28,manslaughter,1.760000000000000000e+02,2005
29,assassination,5.700000000000000000e+02,2005
30,terrorism,2.060000000000000000e+03,2005
31,terrorist,2.266000000000000000e+03,2005
32,terror attack,5.700000000000000000e+01,2005
33,shootings,2.670000000000000000e+02,2005
34,gun violence,3.900000000000000000e+01,2005
35,knife attack,3.000000000000000000e+00,2005
36,knifing,4.000000000000000000e+00,2005
37,lynching,5.200000000000000000e+01,2005
38,drug overdose,2.900000000000000000e+01,2005
