ID,Words,count,year
0,heart disease,3.050000000000000000e+02,2016
1,heart failure,1.960000000000000000e+02,2016
2,cardiovascular disease,7.600000000000000000e+01,2016
3,cancer,3.128000000000000000e+03,2016
4,malignant neoplasms,0.000000000000000000e+00,2016
5,respiratory disease,1.500000000000000000e+01,2016
6,bronchitis,3.000000000000000000e+01,2016
7,emphysema,2.400000000000000000e+01,2016
8,asthma,2.020000000000000000e+02,2016
9,unintentional injuries,4.000000000000000000e+00,2016
10,car accident,1.910000000000000000e+02,2016
11,pileup,5.400000000000000000e+01,2016
12,car crash,1.970000000000000000e+02,2016
13,stroke,1.171000000000000000e+03,2016
14,cerebrovascular diseases,0.000000000000000000e+00,2016
15,alzheimer's disease,2.340000000000000000e+02,2016
16,diabetes,5.550000000000000000e+02,2016
17,Influenza,4.600000000000000000e+01,2016
18,pneumonia,3.920000000000000000e+02,2016
19,flu,2.330000000000000000e+02,2016
20,kidney disease,3.800000000000000000e+01,2016
21,nephrosis,0.000000000000000000e+00,2016
22,nephritis,1.000000000000000000e+00,2016
23,nephrotic syndrome,2.000000000000000000e+00,2016
24,suicide,2.464000000000000000e+03,2016
25,self-harm,3.300000000000000000e+01,2016
26,homicide,6.080000000000000000e+02,2016
27,murder,3.670000000000000000e+03,2016
28,manslaughter,4.630000000000000000e+02,2016
29,assassination,5.440000000000000000e+02,2016
30,terrorism,2.973000000000000000e+03,2016
31,terrorist,3.299000000000000000e+03,2016
32,terror attack,8.300000000000000000e+01,2016
33,shootings,1.396000000000000000e+03,2016
34,gun violence,5.150000000000000000e+02,2016
35,knife attack,4.700000000000000000e+01,2016
36,knifing,1.200000000000000000e+01,2016
37,lynching,9.800000000000000000e+01,2016
38,drug overdose,9.200000000000000000e+01,2016
