ID,Words,count,year
0,heart disease,3.550000000000000000e+02,2013
1,heart failure,1.880000000000000000e+02,2013
2,cardiovascular disease,8.200000000000000000e+01,2013
3,cancer,3.137000000000000000e+03,2013
4,malignant neoplasms,0.000000000000000000e+00,2013
5,respiratory disease,1.100000000000000000e+01,2013
6,bronchitis,3.600000000000000000e+01,2013
7,emphysema,4.200000000000000000e+01,2013
8,asthma,1.910000000000000000e+02,2013
9,unintentional injuries,4.000000000000000000e+00,2013
10,car accident,1.730000000000000000e+02,2013
11,pileup,6.000000000000000000e+01,2013
12,car crash,1.360000000000000000e+02,2013
13,stroke,1.012000000000000000e+03,2013
14,cerebrovascular diseases,0.000000000000000000e+00,2013
15,alzheimer's disease,2.390000000000000000e+02,2013
16,diabetes,6.180000000000000000e+02,2013
17,Influenza,9.400000000000000000e+01,2013
18,pneumonia,2.570000000000000000e+02,2013
19,flu,3.380000000000000000e+02,2013
20,kidney disease,5.600000000000000000e+01,2013
21,nephrosis,0.000000000000000000e+00,2013
22,nephritis,3.000000000000000000e+00,2013
23,nephrotic syndrome,1.000000000000000000e+00,2013
24,suicide,1.623000000000000000e+03,2013
25,self-harm,1.200000000000000000e+01,2013
26,homicide,4.310000000000000000e+02,2013
27,murder,2.543000000000000000e+03,2013
28,manslaughter,1.920000000000000000e+02,2013
29,assassination,6.280000000000000000e+02,2013
30,terrorism,1.280000000000000000e+03,2013
31,terrorist,1.600000000000000000e+03,2013
32,terror attack,3.000000000000000000e+01,2013
33,shootings,7.410000000000000000e+02,2013
34,gun violence,7.360000000000000000e+02,2013
35,knife attack,3.000000000000000000e+00,2013
36,knifing,4.000000000000000000e+00,2013
37,lynching,5.000000000000000000e+01,2013
38,drug overdose,3.300000000000000000e+01,2013
