ID,Words,count,year
0,heart disease,4.260000000000000000e+02,2007
1,heart failure,2.520000000000000000e+02,2007
2,cardiovascular disease,7.100000000000000000e+01,2007
3,cancer,3.999000000000000000e+03,2007
4,malignant neoplasms,0.000000000000000000e+00,2007
5,respiratory disease,1.600000000000000000e+01,2007
6,bronchitis,4.900000000000000000e+01,2007
7,emphysema,5.800000000000000000e+01,2007
8,asthma,3.320000000000000000e+02,2007
9,unintentional injuries,0.000000000000000000e+00,2007
10,car accident,2.930000000000000000e+02,2007
11,pileup,5.500000000000000000e+01,2007
12,car crash,2.010000000000000000e+02,2007
13,stroke,1.028000000000000000e+03,2007
14,cerebrovascular diseases,0.000000000000000000e+00,2007
15,alzheimer's disease,2.300000000000000000e+02,2007
16,diabetes,7.980000000000000000e+02,2007
17,Influenza,9.300000000000000000e+01,2007
18,pneumonia,2.670000000000000000e+02,2007
19,flu,3.930000000000000000e+02,2007
20,kidney disease,4.200000000000000000e+01,2007
21,nephrosis,0.000000000000000000e+00,2007
22,nephritis,2.000000000000000000e+00,2007
23,nephrotic syndrome,0.000000000000000000e+00,2007
24,suicide,2.372000000000000000e+03,2007
25,self-harm,2.000000000000000000e+00,2007
26,homicide,4.520000000000000000e+02,2007
27,murder,3.148000000000000000e+03,2007
28,manslaughter,3.510000000000000000e+02,2007
29,assassination,6.780000000000000000e+02,2007
30,terrorism,2.618000000000000000e+03,2007
31,terrorist,2.604000000000000000e+03,2007
32,terror attack,6.000000000000000000e+01,2007
33,shootings,6.090000000000000000e+02,2007
34,gun violence,1.020000000000000000e+02,2007
35,knife attack,2.000000000000000000e+00,2007
36,knifing,1.100000000000000000e+01,2007
37,lynching,7.700000000000000000e+01,2007
38,drug overdose,5.000000000000000000e+01,2007
