ID,Words,count,year
0,heart disease,3.280000000000000000e+02,2011
1,heart failure,2.430000000000000000e+02,2011
2,cardiovascular disease,5.900000000000000000e+01,2011
3,cancer,4.239000000000000000e+03,2011
4,malignant neoplasms,0.000000000000000000e+00,2011
5,respiratory disease,1.300000000000000000e+01,2011
6,bronchitis,1.400000000000000000e+01,2011
7,emphysema,5.100000000000000000e+01,2011
8,asthma,2.450000000000000000e+02,2011
9,unintentional injuries,0.000000000000000000e+00,2011
10,car accident,3.480000000000000000e+02,2011
11,pileup,8.800000000000000000e+01,2011
12,car crash,1.430000000000000000e+02,2011
13,stroke,1.211000000000000000e+03,2011
14,cerebrovascular diseases,0.000000000000000000e+00,2011
15,alzheimer's disease,2.710000000000000000e+02,2011
16,diabetes,6.170000000000000000e+02,2011
17,Influenza,4.800000000000000000e+01,2011
18,pneumonia,2.480000000000000000e+02,2011
19,flu,2.730000000000000000e+02,2011
20,kidney disease,6.200000000000000000e+01,2011
21,nephrosis,0.000000000000000000e+00,2011
22,nephritis,2.000000000000000000e+00,2011
23,nephrotic syndrome,1.000000000000000000e+00,2011
24,suicide,1.947000000000000000e+03,2011
25,self-harm,7.000000000000000000e+00,2011
26,homicide,4.410000000000000000e+02,2011
27,murder,2.664000000000000000e+03,2011
28,manslaughter,2.470000000000000000e+02,2011
29,assassination,8.090000000000000000e+02,2011
30,terrorism,1.437000000000000000e+03,2011
31,terrorist,1.947000000000000000e+03,2011
32,terror attack,3.000000000000000000e+01,2011
33,shootings,4.970000000000000000e+02,2011
34,gun violence,8.000000000000000000e+01,2011
35,knife attack,2.000000000000000000e+00,2011
36,knifing,1.100000000000000000e+01,2011
37,lynching,6.700000000000000000e+01,2011
38,drug overdose,5.800000000000000000e+01,2011
