ID,Words,count,year
0,heart disease,3.220000000000000000e+02,2010
1,heart failure,2.390000000000000000e+02,2010
2,cardiovascular disease,6.100000000000000000e+01,2010
3,cancer,4.161000000000000000e+03,2010
4,malignant neoplasms,0.000000000000000000e+00,2010
5,respiratory disease,1.500000000000000000e+01,2010
6,bronchitis,2.900000000000000000e+01,2010
7,emphysema,4.600000000000000000e+01,2010
8,asthma,2.910000000000000000e+02,2010
9,unintentional injuries,1.000000000000000000e+00,2010
10,car accident,2.840000000000000000e+02,2010
11,pileup,5.900000000000000000e+01,2010
12,car crash,1.780000000000000000e+02,2010
13,stroke,1.161000000000000000e+03,2010
14,cerebrovascular diseases,0.000000000000000000e+00,2010
15,alzheimer's disease,2.600000000000000000e+02,2010
16,diabetes,7.640000000000000000e+02,2010
17,Influenza,5.500000000000000000e+01,2010
18,pneumonia,2.610000000000000000e+02,2010
19,flu,3.180000000000000000e+02,2010
20,kidney disease,4.700000000000000000e+01,2010
21,nephrosis,0.000000000000000000e+00,2010
22,nephritis,1.000000000000000000e+00,2010
23,nephrotic syndrome,0.000000000000000000e+00,2010
24,suicide,1.936000000000000000e+03,2010
25,self-harm,9.000000000000000000e+00,2010
26,homicide,3.340000000000000000e+02,2010
27,murder,2.508000000000000000e+03,2010
28,manslaughter,2.370000000000000000e+02,2010
29,assassination,5.440000000000000000e+02,2010
30,terrorism,1.682000000000000000e+03,2010
31,terrorist,1.982000000000000000e+03,2010
32,terror attack,2.900000000000000000e+01,2010
33,shootings,3.320000000000000000e+02,2010
34,gun violence,4.600000000000000000e+01,2010
35,knife attack,2.000000000000000000e+00,2010
36,knifing,2.100000000000000000e+01,2010
37,lynching,4.200000000000000000e+01,2010
38,drug overdose,5.200000000000000000e+01,2010
