ID,Words,count,year
0,heart disease,4.010000000000000000e+02,2009
1,heart failure,2.800000000000000000e+02,2009
2,cardiovascular disease,7.800000000000000000e+01,2009
3,cancer,4.609000000000000000e+03,2009
4,malignant neoplasms,0.000000000000000000e+00,2009
5,respiratory disease,2.600000000000000000e+01,2009
6,bronchitis,2.100000000000000000e+01,2009
7,emphysema,5.800000000000000000e+01,2009
8,asthma,2.740000000000000000e+02,2009
9,unintentional injuries,1.000000000000000000e+00,2009
10,car accident,2.880000000000000000e+02,2009
11,pileup,4.700000000000000000e+01,2009
12,car crash,1.510000000000000000e+02,2009
13,stroke,1.079000000000000000e+03,2009
14,cerebrovascular diseases,0.000000000000000000e+00,2009
15,alzheimer's disease,3.250000000000000000e+02,2009
16,diabetes,8.020000000000000000e+02,2009
17,Influenza,3.300000000000000000e+02,2009
18,pneumonia,3.010000000000000000e+02,2009
19,flu,1.647000000000000000e+03,2009
20,kidney disease,7.100000000000000000e+01,2009
21,nephrosis,0.000000000000000000e+00,2009
22,nephritis,3.000000000000000000e+00,2009
23,nephrotic syndrome,0.000000000000000000e+00,2009
24,suicide,2.099000000000000000e+03,2009
25,self-harm,6.000000000000000000e+00,2009
26,homicide,3.310000000000000000e+02,2009
27,murder,2.632000000000000000e+03,2009
28,manslaughter,2.240000000000000000e+02,2009
29,assassination,4.920000000000000000e+02,2009
30,terrorism,1.845000000000000000e+03,2009
31,terrorist,2.089000000000000000e+03,2009
32,terror attack,3.500000000000000000e+01,2009
33,shootings,4.280000000000000000e+02,2009
34,gun violence,7.800000000000000000e+01,2009
35,knife attack,7.000000000000000000e+00,2009
36,knifing,1.000000000000000000e+01,2009
37,lynching,4.900000000000000000e+01,2009
38,drug overdose,4.700000000000000000e+01,2009
