ID,Words,count,year
0,heart disease,2.340000000000000000e+02,2000
1,heart failure,1.020000000000000000e+02,2000
2,cardiovascular disease,3.300000000000000000e+01,2000
3,cancer,3.068000000000000000e+03,2000
4,malignant neoplasms,0.000000000000000000e+00,2000
5,respiratory disease,4.000000000000000000e+00,2000
6,bronchitis,2.900000000000000000e+01,2000
7,emphysema,4.600000000000000000e+01,2000
8,asthma,2.470000000000000000e+02,2000
9,unintentional injuries,0.000000000000000000e+00,2000
10,car accident,1.520000000000000000e+02,2000
11,pileup,2.600000000000000000e+01,2000
12,car crash,1.090000000000000000e+02,2000
13,stroke,8.030000000000000000e+02,2000
14,cerebrovascular diseases,0.000000000000000000e+00,2000
15,alzheimer's disease,1.450000000000000000e+02,2000
16,diabetes,3.580000000000000000e+02,2000
17,Influenza,5.500000000000000000e+01,2000
18,pneumonia,1.510000000000000000e+02,2000
19,flu,2.550000000000000000e+02,2000
20,kidney disease,2.100000000000000000e+01,2000
21,nephrosis,2.000000000000000000e+00,2000
22,nephritis,2.000000000000000000e+00,2000
23,nephrotic syndrome,0.000000000000000000e+00,2000
24,suicide,9.100000000000000000e+02,2000
25,self-harm,0.000000000000000000e+00,2000
26,homicide,3.390000000000000000e+02,2000
27,murder,2.238000000000000000e+03,2000
28,manslaughter,1.490000000000000000e+02,2000
29,assassination,3.820000000000000000e+02,2000
30,terrorism,6.560000000000000000e+02,2000
31,terrorist,6.870000000000000000e+02,2000
32,terror attack,1.200000000000000000e+01,2000
33,shootings,3.840000000000000000e+02,2000
34,gun violence,1.270000000000000000e+02,2000
35,knife attack,2.000000000000000000e+00,2000
36,knifing,8.000000000000000000e+00,2000
37,lynching,1.000000000000000000e+02,2000
38,drug overdose,2.200000000000000000e+01,2000
