ID,Words,count,year
0,heart disease,3.220000000000000000e+02,2004
1,heart failure,1.770000000000000000e+02,2004
2,cardiovascular disease,6.100000000000000000e+01,2004
3,cancer,2.609000000000000000e+03,2004
4,malignant neoplasms,0.000000000000000000e+00,2004
5,respiratory disease,8.000000000000000000e+00,2004
6,bronchitis,2.700000000000000000e+01,2004
7,emphysema,7.000000000000000000e+01,2004
8,asthma,2.150000000000000000e+02,2004
9,unintentional injuries,1.000000000000000000e+00,2004
10,car accident,1.740000000000000000e+02,2004
11,pileup,3.600000000000000000e+01,2004
12,car crash,8.900000000000000000e+01,2004
13,stroke,7.400000000000000000e+02,2004
14,cerebrovascular diseases,0.000000000000000000e+00,2004
15,alzheimer's disease,1.980000000000000000e+02,2004
16,diabetes,4.820000000000000000e+02,2004
17,Influenza,1.810000000000000000e+02,2004
18,pneumonia,2.050000000000000000e+02,2004
19,flu,4.310000000000000000e+02,2004
20,kidney disease,4.000000000000000000e+01,2004
21,nephrosis,0.000000000000000000e+00,2004
22,nephritis,2.000000000000000000e+00,2004
23,nephrotic syndrome,0.000000000000000000e+00,2004
24,suicide,1.593000000000000000e+03,2004
25,self-harm,6.000000000000000000e+00,2004
26,homicide,3.280000000000000000e+02,2004
27,murder,2.042000000000000000e+03,2004
28,manslaughter,2.090000000000000000e+02,2004
29,assassination,4.720000000000000000e+02,2004
30,terrorism,2.980000000000000000e+03,2004
31,terrorist,3.146000000000000000e+03,2004
32,terror attack,7.500000000000000000e+01,2004
33,shootings,2.340000000000000000e+02,2004
34,gun violence,4.700000000000000000e+01,2004
35,knife attack,1.000000000000000000e+00,2004
36,knifing,4.000000000000000000e+00,2004
37,lynching,4.300000000000000000e+01,2004
38,drug overdose,3.100000000000000000e+01,2004
