ID,Words,count,year
0,heart disease,2.500000000000000000e+02,2003
1,heart failure,1.200000000000000000e+02,2003
2,cardiovascular disease,4.900000000000000000e+01,2003
3,cancer,2.572000000000000000e+03,2003
4,malignant neoplasms,0.000000000000000000e+00,2003
5,respiratory disease,1.200000000000000000e+02,2003
6,bronchitis,2.600000000000000000e+01,2003
7,emphysema,5.300000000000000000e+01,2003
8,asthma,2.210000000000000000e+02,2003
9,unintentional injuries,0.000000000000000000e+00,2003
10,car accident,1.550000000000000000e+02,2003
11,pileup,3.400000000000000000e+01,2003
12,car crash,9.900000000000000000e+01,2003
13,stroke,7.120000000000000000e+02,2003
14,cerebrovascular diseases,0.000000000000000000e+00,2003
15,alzheimer's disease,1.430000000000000000e+02,2003
16,diabetes,4.730000000000000000e+02,2003
17,Influenza,1.300000000000000000e+02,2003
18,pneumonia,2.690000000000000000e+02,2003
19,flu,2.810000000000000000e+02,2003
20,kidney disease,5.800000000000000000e+01,2003
21,nephrosis,0.000000000000000000e+00,2003
22,nephritis,1.000000000000000000e+00,2003
23,nephrotic syndrome,0.000000000000000000e+00,2003
24,suicide,1.839000000000000000e+03,2003
25,self-harm,3.000000000000000000e+00,2003
26,homicide,3.600000000000000000e+02,2003
27,murder,2.064000000000000000e+03,2003
28,manslaughter,1.740000000000000000e+02,2003
29,assassination,4.870000000000000000e+02,2003
30,terrorism,2.966000000000000000e+03,2003
31,terrorist,3.370000000000000000e+03,2003
32,terror attack,9.300000000000000000e+01,2003
33,shootings,4.560000000000000000e+02,2003
34,gun violence,4.100000000000000000e+01,2003
35,knife attack,3.000000000000000000e+00,2003
36,knifing,3.000000000000000000e+00,2003
37,lynching,4.800000000000000000e+01,2003
38,drug overdose,2.400000000000000000e+01,2003
