ID,Words,count,year
0,heart disease,3.650000000000000000e+02,2008
1,heart failure,2.850000000000000000e+02,2008
2,cardiovascular disease,8.100000000000000000e+01,2008
3,cancer,4.019000000000000000e+03,2008
4,malignant neoplasms,0.000000000000000000e+00,2008
5,respiratory disease,1.200000000000000000e+01,2008
6,bronchitis,2.700000000000000000e+01,2008
7,emphysema,5.500000000000000000e+01,2008
8,asthma,2.090000000000000000e+02,2008
9,unintentional injuries,2.000000000000000000e+00,2008
10,car accident,2.310000000000000000e+02,2008
11,pileup,4.700000000000000000e+01,2008
12,car crash,1.170000000000000000e+02,2008
13,stroke,1.088000000000000000e+03,2008
14,cerebrovascular diseases,0.000000000000000000e+00,2008
15,alzheimer's disease,2.360000000000000000e+02,2008
16,diabetes,7.090000000000000000e+02,2008
17,Influenza,7.000000000000000000e+01,2008
18,pneumonia,2.680000000000000000e+02,2008
19,flu,2.520000000000000000e+02,2008
20,kidney disease,6.100000000000000000e+01,2008
21,nephrosis,0.000000000000000000e+00,2008
22,nephritis,5.000000000000000000e+00,2008
23,nephrotic syndrome,0.000000000000000000e+00,2008
24,suicide,1.869000000000000000e+03,2008
25,self-harm,5.000000000000000000e+00,2008
26,homicide,3.290000000000000000e+02,2008
27,murder,2.353000000000000000e+03,2008
28,manslaughter,2.670000000000000000e+02,2008
29,assassination,6.100000000000000000e+02,2008
30,terrorism,1.923000000000000000e+03,2008
31,terrorist,2.193000000000000000e+03,2008
32,terror attack,3.700000000000000000e+01,2008
33,shootings,3.350000000000000000e+02,2008
34,gun violence,7.100000000000000000e+01,2008
35,knife attack,4.000000000000000000e+00,2008
36,knifing,6.000000000000000000e+00,2008
37,lynching,7.000000000000000000e+01,2008
38,drug overdose,3.400000000000000000e+01,2008
